,invoice_id,InvoiceNo,InvoiceDate,invoiceDate_norm,Year,YearMonth,Month,MonthDate,DayofMonth,Hour,DayofWeek,Month_name,Day_name
0,0,536365,2010-12-01 08:26:00,2010-12-01,2010,2010-12,12,12-01,1,8,2,December,Wednesday
1,1,536366,2010-12-01 08:28:00,2010-12-01,2010,2010-12,12,12-01,1,8,2,December,Wednesday
2,2,536367,2010-12-01 08:34:00,2010-12-01,2010,2010-12,12,12-01,1,8,2,December,Wednesday
3,3,536368,2010-12-01 08:34:00,2010-12-01,2010,2010-12,12,12-01,1,8,2,December,Wednesday
4,4,536369,2010-12-01 08:35:00,2010-12-01,2010,2010-12,12,12-01,1,8,2,December,Wednesday
5,5,536370,2010-12-01 08:45:00,2010-12-01,2010,2010-12,12,12-01,1,8,2,December,Wednesday
6,6,536371,2010-12-01 09:00:00,2010-12-01,2010,2010-12,12,12-01,1,9,2,December,Wednesday
7,7,536372,2010-12-01 09:01:00,2010-12-01,2010,2010-12,12,12-01,1,9,2,December,Wednesday
8,8,536373,2010-12-01 09:02:00,2010-12-01,2010,2010-12,12,12-01,1,9,2,December,Wednesday
9,9,536374,2010-12-01 09:09:00,2010-12-01,2010,2010-12,12,12-01,1,9,2,December,Wednesday
10,10,536375,2010-12-01 09:32:00,2010-12-01,2010,2010-12,12,12-01,1,9,2,December,Wednesday
11,11,536376,2010-12-01 09:32:00,2010-12-01,2010,2010-12,12,12-01,1,9,2,December,Wednesday
12,12,536377,2010-12-01 09:34:00,2010-12-01,2010,2010-12,12,12-01,1,9,2,December,Wednesday
13,13,536378,2010-12-01 09:37:00,2010-12-01,2010,2010-12,12,12-01,1,9,2,December,Wednesday
14,14,536380,2010-12-01 09:41:00,2010-12-01,2010,2010-12,12,12-01,1,9,2,December,Wednesday
15,15,536381,2010-12-01 09:41:00,2010-12-01,2010,2010-12,12,12-01,1,9,2,December,Wednesday
16,16,536382,2010-12-01 09:45:00,2010-12-01,2010,2010-12,12,12-01,1,9,2,December,Wednesday
17,17,536384,2010-12-01 09:53:00,2010-12-01,2010,2010-12,12,12-01,1,9,2,December,Wednesday
18,18,536385,2010-12-01 09:56:00,2010-12-01,2010,2010-12,12,12-01,1,9,2,December,Wednesday
19,19,536386,2010-12-01 09:57:00,2010-12-01,2010,2010-12,12,12-01,1,9,2,December,Wednesday
20,20,536387,2010-12-01 09:58:00,2010-12-01,2010,2010-12,12,12-01,1,9,2,December,Wednesday
21,21,536388,2010-12-01 09:59:00,2010-12-01,2010,2010-12,12,12-01,1,9,2,December,Wednesday
22,22,536389,2010-12-01 10:03:00,2010-12-01,2010,2010-12,12,12-01,1,10,2,December,Wednesday
23,23,536390,2010-12-01 10:19:00,2010-12-01,2010,2010-12,12,12-01,1,10,2,December,Wednesday
24,24,536392,2010-12-01 10:29:00,2010-12-01,2010,2010-12,12,12-01,1,10,2,December,Wednesday
25,25,536393,2010-12-01 10:37:00,2010-12-01,2010,2010-12,12,12-01,1,10,2,December,Wednesday
26,26,536394,2010-12-01 10:39:00,2010-12-01,2010,2010-12,12,12-01,1,10,2,December,Wednesday
27,27,536395,2010-12-01 10:47:00,2010-12-01,2010,2010-12,12,12-01,1,10,2,December,Wednesday
28,28,536396,2010-12-01 10:51:00,2010-12-01,2010,2010-12,12,12-01,1,10,2,December,Wednesday
29,29,536397,2010-12-01 10:51:00,2010-12-01,2010,2010-12,12,12-01,1,10,2,December,Wednesday
30,30,536398,2010-12-01 10:52:00,2010-12-01,2010,2010-12,12,12-01,1,10,2,December,Wednesday
31,31,536399,2010-12-01 10:52:00,2010-12-01,2010,2010-12,12,12-01,1,10,2,December,Wednesday
32,32,536400,2010-12-01 10:53:00,2010-12-01,2010,2010-12,12,12-01,1,10,2,December,Wednesday
33,33,536401,2010-12-01 11:21:00,2010-12-01,2010,2010-12,12,12-01,1,11,2,December,Wednesday
