,product_id,StockCode,UnitPrice,Product
0,0,21730,4.25,holder star glass frosted tlight
1,1,22752,7.65,7 nesting babushka set boxes
2,2,71053,3.39,lantern white metal moroccan
3,3,84029E,3.39,red heart hottie white woolly
4,4,84029G,3.39,flag knitted hot union water bottle
5,5,84406B,2.75,hanger cupid cream coat hearts
6,6,85123A,2.55,holder heart cream hanging white tlight
7,7,22632,1.85,red warmer dot hand retrospot polka
8,8,22633,1.85,jack warmer union hand
9,9,21754,5.95,home block word building
10,10,21755,5.95,block word building love
11,11,21777,7.95,heart metal box recipe
12,12,22310,1.65,knitted cosy ivory mug
13,13,22622,9.95,alphabet vintage box blocks
14,14,22623,4.95,blocks vintage box jigsaw
15,15,22745,2.1,bedroom poppys playhouse
16,16,22748,2.1,kitchen poppys playhouse
17,17,22749,3.75,doll charlotte feltcraft princess
18,18,48187,7.95,new doormat england
19,19,84879,1.69,bird colour ornament assorted
20,20,84969,4.25,colour 6 teaspoons box assorted
21,21,22912,4.95,fashion coat paris rack yellow
22,22,22913,4.95,red fashion coat paris rack
23,23,22914,4.95,fashion coat blue paris rack
24,24,22960,4.25,jars set making jam
25,25,21756,5.95,block word bath building
26,26,10002,0.85,political inflatable globe
27,27,21035,2.95,red set 2 towels retrospot tea
28,28,21724,0.85,sticker panda bunnies sheet
29,29,21731,1.65,red night light led toadstool
30,30,21791,1.25,vintage card game tails heads
31,31,21883,0.65,stars gift tape
32,32,21913,3.75,puzzles jigsaw vintage seaside
33,33,22326,2.95,snack round woodland set of 4 boxes
34,34,22492,0.65,paint vintage set mini
35,35,22540,0.42,jigsaw circus parade mini
36,36,22544,0.42,spaceboy jigsaw mini
37,37,22629,1.95,spaceboy lunch box
38,38,22631,1.95,box lunch circus parade
39,39,22659,1.95,london lunch box love
40,40,22661,0.85,bag design girl charlotte dolly
41,41,22726,3.75,clock bakelike green alarm
42,42,22727,3.75,clock bakelike red alarm
43,43,22728,3.75,clock bakelike pink alarm
44,44,22900,2.95,towels london tea love set 2
45,45,22086,2.55,chain 50 s christmas kit paper
46,46,20679,4.95,parasol edwardian red
47,47,21068,1.06,vintage lovehate billboard mug
48,48,21071,1.06,drink vintage billboard mug
49,49,21871,1.06,save planet mug
50,50,37370,1.06,retro assorted coffee mugs
51,51,82482,2.1,frame wooden white picture finish
52,52,82483,4.95,wood white cabinet drawer 2 finish
53,53,82486,6.95,wood s 3 white ant antique cabinet drawer 3 finish
54,54,82494L,2.55,frame white antique wooden
55,55,21258,10.95,sewing victorian box large
56,56,21733,2.55,red holder heart hanging tlight
57,57,22114,3.45,hot tea sympathy water bottle
58,58,20723,0.85,bag strawberry charlotte
59,59,20725,1.65,bag lunch red retrospot spotty
60,60,21033,2.95,bag lola toys charlie jumbo
61,61,21094,0.85,red set 6 plates spotty paper
62,62,21212,0.42,cases retrospot cake 72 pack
63,63,21559,2.55,strawberry lunch cutlery box
64,64,21929,1.95,bag vintage paisley pink jumbo
65,65,21931,1.95,bag storage jumbo suki
66,66,21975,0.55,cases 60 cake dinosaur pack
67,67,21977,0.55,cases 60 cake paisley pink pack
68,68,22352,2.55,lunch cutlery box retrospot
69,69,22386,1.95,bag jumbo pink polkadot
70,70,84519A,2.95,coaster charlielola set tomato
71,71,84991,0.55,cases 60 cake fairy teatime
72,72,84997B,3.75,cutlery red piece retrospot childrens set 3
73,73,84997C,3.75,cutlery piece childrens blue set 3 polkadot
74,74,85071B,0.38,doorsign red charlielola personal
75,75,85099C,1.95,bag black baroque white jumbo
76,76,85183B,1.25,flora lola charlie bin wastepaper
77,77,22961,1.45,set printed making jam
78,78,15056BL,5.95,parasol edwardian black
79,79,15056N,5.95,parasol edwardian natural
80,80,21166,1.95,metal cook wine sign
81,81,21169,1.69,metal youre sign confusing
82,82,21175,2.1,metal diet sign tonic gin
83,83,21523,6.75,home sweet font doormat fancy
84,84,21533,4.95,milk large retrospot jug
85,85,21557,2.95,funky 6 beakers set
86,86,21672,1.25,red ceramic spot white knob drawer
87,87,21934,1.65,bag skull shoulder
88,88,22083,2.95,chain kit retrospot paper
89,89,22086,2.95,chain 50 s christmas kit paper
90,90,22139,4.25,ceramic retrospot tea pc set 11
91,91,22176,2.95,blue owl toy soft
92,92,22261,0.85,cosy egg rabbit white felt
93,93,22262,0.85,cosy felt egg chicken
94,94,22411,1.95,vintage red shopper paisley jumbo
95,95,22438,1.95,balloon flowers art
96,96,22637,2.55,bank retrospot piggy
97,97,22644,1.45,ceramic money cake bank cherry
98,98,22646,1.45,ceramic money cake strawberry bank
99,99,22719,1.06,rack monochrome coat gumball
100,100,22771,1.25,edwardian clear knob drawer acrylic
101,101,22774,1.25,red edwardian knob drawer acrylic
102,102,22778,3.95,jar small glass bell cloche
103,103,37444A,2.95,cup saucer yellow breakfast
104,104,37444C,2.95,cup saucer pink breakfast
105,105,47580,2.55,des cosy tea time
106,106,71270,1.25,line photo clip
107,107,82567,2.1,airline sign loungemetal
108,108,84832,0.85,stick winkie candle zinc willie
109,109,84854,4.95,tool girly set pink
110,110,84971S,0.85,small flowers heart hook
111,111,21832,1.65,calculator chocolate
112,112,21912,3.75,vintage ladders snakes
113,113,22379,2.1,bag retrospot recycling
114,114,22381,1.85,toy tidy pink polkadot
115,115,22783,16.95,w baskets lids wicker set oval 3
116,116,22798,2.95,dressing glass antique pot table
117,117,22838,14.95,red cream cake tier tin 3
118,118,22839,14.95,cream cake green tier tin 3
119,119,22926,5.95,garden thermometer ivory giant
120,120,21324,2.95,medina hanging lantern small
121,121,21340,12.75,metal holder classic plant birdcage
122,122,22189,3.95,heart cream card holder
123,123,22224,2.95,lantern white lovebird
124,124,22424,10.95,enamel bin bread cream
125,125,22427,5.95,enamel flower jug cream
126,126,22428,6.95,enamel bucket cream fire
127,127,22457,2.95,slate chalkboard natural heart
128,128,22464,1.65,lantern hanging metal heart
129,129,22469,1.45,wicker small heart
130,130,22470,2.55,wicker large heart
131,131,82484,6.45,wood black white ant board finish
132,132,84755,0.65,holder hanging colour glass tlight
133,133,22168,8.5,white wood antique organiser
134,134,22662,1.65,bag lunch design girl dolly
135,135,22663,1.95,bag design girl dolly jumbo
136,136,22783,19.95,w baskets lids wicker set oval 3
137,137,85049A,1.25,traditional ribbons christmas
138,138,84880,4.95,white egg holder wire
139,139,85099B,1.65,bag red retrospot jumbo
140,140,85099C,1.65,bag black baroque white jumbo
141,141,21731,1.25,red night light led toadstool
142,142,22466,1.45,night nightlight tale light fairy cottage
143,143,22779,3.37,light garland wooden owls
144,144,22780,3.37,light garland pink butterfiles
145,145,79321,3.82,lights chilli
146,146,21115,6.75,doorstop caravan rose
147,147,21363,4.95,wood home small letters
148,148,21411,4.25,heart doorstop red gingham
149,149,21523,7.95,home sweet font doormat fancy
150,150,22242,1.65,hanger 5 hook magic toadstool
151,151,22318,2.95,decoration hanging heart
152,152,22469,1.65,wicker small heart
153,153,22915,0.42,magnets bottle assorted
154,154,22922,0.85,magnets diner assorted fridge
155,155,22923,0.85,enfants fridge magnets les assorted
156,156,22969,1.45,candles scented homemade jam
157,157,21622,4.95,vintage cover cushion union jack
158,158,22191,8.5,clock diner ivory wall
159,159,22192,8.5,clock blue diner wall
160,160,22193,8.5,clock red diner wall
161,161,22195,1.65,spoons large heart measuring
162,162,22196,0.85,measuring small heart spoons
163,163,22941,8.5,lights 10 reindeer christmas
164,164,35004C,5.45,ducks coloured set flying 3
165,165,35004G,6.35,ducks gold set flying 3
166,166,85014A,5.95,umbrella blackblue polkadot
167,167,85014B,5.95,red retrospot umbrella
168,168,20668,0.1,disco ball decoration christmas
169,169,21080,0.64,set 20 red retrospot napkins paper
170,170,21086,0.65,red set 6 spotty cups paper
171,171,21094,0.64,red set 6 plates spotty paper
172,172,21485,4.25,heart hot retrospot water bottle
173,173,21533,4.25,milk large retrospot jug
174,174,21786,0.32,rain hat polkadot
175,175,22174,1.48,cube photo
176,176,22197,0.72,small holder popcorn
177,177,22198,1.45,large holder popcorn
178,178,22654,4.95,deluxe kit sewing
179,179,22910,2.55,vintage chain christmas kit paper
180,180,22960,3.75,jars set making jam
181,181,22962,0.72,jar lid pink jam
182,182,22963,0.72,jar blue green lid jam
183,183,22968,8.5,box rose cottage keepsake
184,184,22969,1.25,candles scented homemade jam
185,185,84030E,3.75,english hot rose water bottle
186,186,84970S,0.64,holder heart hanging zinc tlight
187,187,21889,1.25,box wooden dominoes
188,188,21891,1.25,skipping traditional rope wooden
189,189,22127,1.25,assorted cones party carnival
190,190,22128,1.25,candy assorted cones party
191,191,22150,1.95,stripey feltcraft mice 3
192,192,22338,0.65,decoration painted zinc star
193,193,22502,5.95,basket 60 pieces small wicker picnic
194,194,22619,3.75,6 skittles soldier set
195,195,22827,165.0,drawer rustic seventeen sideboard
196,196,22180,9.95,lamp retrospot
197,197,21485,4.95,heart hot retrospot water bottle
198,198,21506,0.42,birthday fancy card font
199,199,22349,3.75,design bowl chasing ball dog
200,200,22558,1.25,clothes 24 pegs retrospot pack
201,201,22652,1.65,sewing kit travel
202,202,22865,1.85,owl design warmer hand
203,203,22866,1.85,design warmer hand scotty dog
204,204,85152,2.1,sign chocolate hand
205,205,21212,0.55,cases retrospot cake 72 pack
206,206,21314,2.1,heart trinket small glass pot
207,207,21484,3.45,grey hot chick water bottle
208,208,22114,3.95,hot tea sympathy water bottle
209,209,22188,3.95,black heart card holder
210,210,22729,3.75,clock orange bakelike alarm
211,211,22730,3.75,clock bakelike ivory alarm
212,212,22866,2.1,design warmer hand scotty dog
213,213,22867,2.1,bird design warmer hand
214,214,15056BL,4.95,parasol edwardian black
215,215,22803,35.75,embroidered ivory quilt
216,216,35004B,4.65,ducks black set flying 3
217,217,35004C,4.65,ducks coloured set flying 3
218,218,21232,1.25,ceramic strawberry trinket box pot
219,219,21479,3.75,hot white skull water bottle
220,220,21844,2.95,red retrospot mug
221,221,21980,0.29,red retrospot tissues 12 pack
222,222,22064,1.65,pot trinket doughnut pink
223,223,22111,4.95,scottie hot water bottle dog
224,224,22112,4.95,water hot chocolate bottle
225,225,22449,3.35,silk babushka pink purse
226,226,22468,6.75,lights string babushka 10
227,227,22632,2.1,red warmer dot hand retrospot polka
228,228,22752,8.5,7 nesting babushka set boxes
229,229,22835,4.65,poorly water hot bottle
230,230,22865,2.1,owl design warmer hand
231,231,48185,7.95,doormat cake fairy
232,232,17091A,1.25,tin incense lavender
233,233,20726,1.65,bag lunch woodland
234,234,20749,7.95,cases colour assorted mini
235,235,20820,4.95,looking silver mirror
236,236,20961,1.25,strawberry bath sponge
237,237,20963,1.25,apple bath sponge
238,238,20966,1.25,bath sandwich sponge
239,239,20992,0.85,hearts notebook purse jazz
240,240,21108,2.55,colour flannel cake fairy assorted
241,241,21122,1.25,candles set 10 pink party polkadot
242,242,21328,1.65,writing set balloons
243,243,21463,5.95,disco ball mirrored
244,244,21464,4.25,disco operated battery ball rotator
245,245,21587,2.55,cosy tube hour matches giant
246,246,21592,1.25,box retrospot matches cigar
247,247,21743,2.95,light table portable star
