decade,century,trials,deaths,country,lon,lat,record.source
1520,1500,1,1,Estonia,25.3319078,58.7523778,Madar (1990)
1530,1500,1,1,Estonia,25.3319078,58.7523778,Madar (1990)
1540,1500,5,5,Estonia,25.3319078,58.7523778,Madar (1990)
1580,1500,7,5,Estonia,25.3319078,58.7523778,Madar (1990)
1590,1500,11,0,Estonia,25.3319078,58.7523778,Madar (1990)
1600,1600,6,1,Estonia,25.3319078,58.7523778,Madar (1990)
1610,1600,22,18,Estonia,25.3319078,58.7523778,Madar (1990)
1620,1600,14,8,Estonia,25.3319078,58.7523778,Madar (1990)
1630,1600,25,4,Estonia,25.3319078,58.7523778,Madar (1990)
1640,1600,39,10,Estonia,25.3319078,58.7523778,Madar (1990)
1650,1600,10,1,Estonia,25.3319078,58.7523778,Madar (1990)
1660,1600,10,4,Estonia,25.3319078,58.7523778,Madar (1990)
1670,1600,8,1,Estonia,25.3319078,58.7523778,Madar (1990)
1680,1600,8,3,Estonia,25.3319078,58.7523778,Madar (1990)
1690,1600,28,3,Estonia,25.3319078,58.7523778,Madar (1990)
1700,1700,5,0,Estonia,25.3319078,58.7523778,Madar (1990)
1720,1700,5,0,Estonia,25.3319078,58.7523778,Madar (1990)
1520,1500,1,0,Finland,25.9209164,63.2467777,Heikkinen and Kervinen (1990)
1540,1500,8,0,Finland,25.9209164,63.2467777,Heikkinen and Kervinen (1990)
1550,1500,12,1,Finland,25.9209164,63.2467777,Heikkinen and Kervinen (1990)
1560,1500,16,4,Finland,25.9209164,63.2467777,Heikkinen and Kervinen (1990)
1570,1500,22,3,Finland,25.9209164,63.2467777,Heikkinen and Kervinen (1990)
1580,1500,15,2,Finland,25.9209164,63.2467777,Heikkinen and Kervinen (1990)
1590,1500,8,1,Finland,25.9209164,63.2467777,Heikkinen and Kervinen (1990)
1600,1600,7,2,Finland,25.9209164,63.2467777,Heikkinen and Kervinen (1990)
1610,1600,6,0,Finland,25.9209164,63.2467777,Heikkinen and Kervinen (1990)
1620,1600,22,3,Finland,25.9209164,63.2467777,Heikkinen and Kervinen (1990)
1630,1600,27,2,Finland,25.9209164,63.2467777,Heikkinen and Kervinen (1990)
1640,1600,66,11,Finland,25.9209164,63.2467777,Heikkinen and Kervinen (1990)
1650,1600,73,10,Finland,25.9209164,63.2467777,Heikkinen and Kervinen (1990)
1660,1600,87,25,Finland,25.9209164,63.2467777,Heikkinen and Kervinen (1990)
1670,1600,157,41,Finland,25.9209164,63.2467777,Heikkinen and Kervinen (1990)
1680,1600,121,9,Finland,25.9209164,63.2467777,Heikkinen and Kervinen (1990)
1690,1600,62,1,Finland,25.9209164,63.2467777,Heikkinen and Kervinen (1990)
1520,1500,3,1,Hungary,19.5060937,47.1817585,Klaniczay (1990)
1530,1500,3,1,Hungary,19.5060937,47.1817585,Klaniczay (1990)
1540,1500,3,1,Hungary,19.5060937,47.1817585,Klaniczay (1990)
1550,1500,3,1,Hungary,19.5060937,47.1817585,Klaniczay (1990)
1560,1500,5,4,Hungary,19.5060937,47.1817585,Klaniczay (1990)
1570,1500,5,1,Hungary,19.5060937,47.1817585,Klaniczay (1990)
1580,1500,17,11,Hungary,19.5060937,47.1817585,Klaniczay (1990)
1590,1500,8,4,Hungary,19.5060937,47.1817585,Klaniczay (1990)
1600,1600,12,6,Hungary,19.5060937,47.1817585,Klaniczay (1990)
1610,1600,15,10,Hungary,19.5060937,47.1817585,Klaniczay (1990)
1620,1600,43,14,Hungary,19.5060937,47.1817585,Klaniczay (1990)
1630,1600,38,9,Hungary,19.5060937,47.1817585,Klaniczay (1990)
1640,1600,51,6,Hungary,19.5060937,47.1817585,Klaniczay (1990)
1650,1600,57,19,Hungary,19.5060937,47.1817585,Klaniczay (1990)
1660,1600,63,15,Hungary,19.5060937,47.1817585,Klaniczay (1990)
1670,1600,57,26,Hungary,19.5060937,47.1817585,Klaniczay (1990)
1680,1600,45,22,Hungary,19.5060937,47.1817585,Klaniczay (1990)
1690,1600,103,39,Hungary,19.5060937,47.1817585,Klaniczay (1990)
1700,1700,106,46,Hungary,19.5060937,47.1817585,Klaniczay (1990)
1710,1700,217,62,Hungary,19.5060937,47.1817585,Klaniczay (1990)
1720,1700,227,64,Hungary,19.5060937,47.1817585,Klaniczay (1990)
1730,1700,180,36,Hungary,19.5060937,47.1817585,Klaniczay (1990)
1740,1700,185,51,Hungary,19.5060937,47.1817585,Klaniczay (1990)
1750,1700,143,21,Hungary,19.5060937,47.1817585,Klaniczay (1990)
1760,1700,47,1,Hungary,19.5060937,47.1817585,Klaniczay (1990)
1770,1700,8,3,Hungary,19.5060937,47.1817585,Klaniczay (1990)
1560,1500,4,0,Norway,8.7876653,61.1529386,Naess (1990)
1570,1500,25,3,Norway,8.7876653,61.1529386,Naess (1990)
1580,1500,17,5,Norway,8.7876653,61.1529386,Naess (1990)
1590,1500,16,7,Norway,8.7876653,61.1529386,Naess (1990)
1600,1600,21,11,Norway,8.7876653,61.1529386,Naess (1990)
1610,1600,73,33,Norway,8.7876653,61.1529386,Naess (1990)
1620,1600,134,69,Norway,8.7876653,61.1529386,Naess (1990)
1630,1600,80,31,Norway,8.7876653,61.1529386,Naess (1990)
1640,1600,97,41,Norway,8.7876653,61.1529386,Naess (1990)
1650,1600,80,26,Norway,8.7876653,61.1529386,Naess (1990)
1660,1600,157,47,Norway,8.7876653,61.1529386,Naess (1990)
1670,1600,56,5,Norway,8.7876653,61.1529386,Naess (1990)
1680,1600,64,1,Norway,8.7876653,61.1529386,Naess (1990)
1690,1600,26,1,Norway,8.7876653,61.1529386,Naess (1990)
1700,1700,2,0,Norway,8.7876653,61.1529386,Naess (1990)
