,fromPlaylist,trackName,trackPopularity,trackNumber,isExplicit,artistID,artistName,artistPop,artistGenre,albumName,albumID,albumType,releaseDate,album_nTracks,albumCover,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,Who's That Girl,Violet,64,1,False,5SHQUMAmEK5KmuSb0aDvsn,Hole,60,alternative rock,Live Through This,2Rwf2nPYZQ9aIe4QXACTC7,album,1994,12,https://i.scdn.co/image/ab67616d0000b273be245e5b673371e6f95b19e2,0.287,0.78,7,-6.493,1,0.0469,0.049,3.71e-05,0.184,0.383,167.278,audio_features,6CHENx8iqzMwavTIz8s0gm,spotify:track:6CHENx8iqzMwavTIz8s0gm,https://api.spotify.com/v1/tracks/6CHENx8iqzMwavTIz8s0gm,https://api.spotify.com/v1/audio-analysis/6CHENx8iqzMwavTIz8s0gm,204933,4
1,Who's That Girl,Miss World,54,1,False,5SHQUMAmEK5KmuSb0aDvsn,Hole,60,alternative rock,Live Through This,2Rwf2nPYZQ9aIe4QXACTC7,album,1994,12,https://i.scdn.co/image/ab67616d0000b273be245e5b673371e6f95b19e2,0.331,0.722,7,-8.461,1,0.0408,0.00204,5.35e-05,0.256,0.349,125.575,audio_features,3yMFBuIdPBdJkkzaPBDjKY,spotify:track:3yMFBuIdPBdJkkzaPBDjKY,https://api.spotify.com/v1/tracks/3yMFBuIdPBdJkkzaPBDjKY,https://api.spotify.com/v1/audio-analysis/3yMFBuIdPBdJkkzaPBDjKY,180067,4
2,Who's That Girl,Doll Parts,61,1,False,5SHQUMAmEK5KmuSb0aDvsn,Hole,60,alternative rock,Live Through This,2Rwf2nPYZQ9aIe4QXACTC7,album,1994,12,https://i.scdn.co/image/ab67616d0000b273be245e5b673371e6f95b19e2,0.245,0.542,7,-7.159,1,0.0324,0.147,4.05e-06,0.102,0.365,204.824,audio_features,49t1GWE6ZiEoBgN92oMDdM,spotify:track:49t1GWE6ZiEoBgN92oMDdM,https://api.spotify.com/v1/tracks/49t1GWE6ZiEoBgN92oMDdM,https://api.spotify.com/v1/audio-analysis/49t1GWE6ZiEoBgN92oMDdM,211960,4
3,Who's That Girl,Rock Star,47,1,True,5SHQUMAmEK5KmuSb0aDvsn,Hole,60,alternative rock,Live Through This,2Rwf2nPYZQ9aIe4QXACTC7,album,1994,12,https://i.scdn.co/image/ab67616d0000b273be245e5b673371e6f95b19e2,0.308,0.868,4,-6.44,1,0.144,0.00514,4.52e-05,0.27,0.25,125.782,audio_features,72xpgWWuEyLWFFTIKnrAbZ,spotify:track:72xpgWWuEyLWFFTIKnrAbZ,https://api.spotify.com/v1/tracks/72xpgWWuEyLWFFTIKnrAbZ,https://api.spotify.com/v1/audio-analysis/72xpgWWuEyLWFFTIKnrAbZ,162200,4
4,Who's That Girl,Lark,0,1,False,6mKqFxGMS5TGDZI3XkT5Rt,Angel Olsen,55,alternative americana,All Mirrors,0RedX0LZkGUFoRwFntAaI0,album,2019,11,https://i.scdn.co/image/ab67616d0000b2732b31fc8bd33efd1f2f2f23b0,0.447,0.56,7,-8.36,1,0.0316,0.00311,0.0991,0.22,0.0422,98.986,audio_features,13rEyddPoVpxXWWv2aTjqo,spotify:track:13rEyddPoVpxXWWv2aTjqo,https://api.spotify.com/v1/tracks/13rEyddPoVpxXWWv2aTjqo,https://api.spotify.com/v1/audio-analysis/13rEyddPoVpxXWWv2aTjqo,378827,4
5,Who's That Girl,All Mirrors,0,1,False,6mKqFxGMS5TGDZI3XkT5Rt,Angel Olsen,55,alternative americana,All Mirrors,0RedX0LZkGUFoRwFntAaI0,album,2019,11,https://i.scdn.co/image/ab67616d0000b2732b31fc8bd33efd1f2f2f23b0,0.433,0.688,7,-7.378,0,0.0376,0.00302,0.00195,0.153,0.232,105.018,audio_features,5Zcry3zaBmgJrtQ78XEJQf,spotify:track:5Zcry3zaBmgJrtQ78XEJQf,https://api.spotify.com/v1/tracks/5Zcry3zaBmgJrtQ78XEJQf,https://api.spotify.com/v1/audio-analysis/5Zcry3zaBmgJrtQ78XEJQf,282027,4
6,Who's That Girl,New Love Cassette,0,1,False,6mKqFxGMS5TGDZI3XkT5Rt,Angel Olsen,55,alternative americana,All Mirrors,0RedX0LZkGUFoRwFntAaI0,album,2019,11,https://i.scdn.co/image/ab67616d0000b2732b31fc8bd33efd1f2f2f23b0,0.619,0.464,9,-9.82,1,0.028,0.15,0.88,0.0791,0.58,79.033,audio_features,4SsWVvNKAHJP1T2bP6d2ut,spotify:track:4SsWVvNKAHJP1T2bP6d2ut,https://api.spotify.com/v1/tracks/4SsWVvNKAHJP1T2bP6d2ut,https://api.spotify.com/v1/audio-analysis/4SsWVvNKAHJP1T2bP6d2ut,206413,3
7,Who's That Girl,Summer,0,1,False,6mKqFxGMS5TGDZI3XkT5Rt,Angel Olsen,55,alternative americana,All Mirrors,0RedX0LZkGUFoRwFntAaI0,album,2019,11,https://i.scdn.co/image/ab67616d0000b2732b31fc8bd33efd1f2f2f23b0,0.521,0.847,9,-7.368,0,0.045,0.127,0.0897,0.169,0.392,111.961,audio_features,3pnbP5m1OP0ZDmVR0bAY4l,spotify:track:3pnbP5m1OP0ZDmVR0bAY4l,https://api.spotify.com/v1/tracks/3pnbP5m1OP0ZDmVR0bAY4l,https://api.spotify.com/v1/audio-analysis/3pnbP5m1OP0ZDmVR0bAY4l,245240,4
8,Who's That Girl,I'm a Fool to Want You,50,1,False,1YzCsTRb22dQkh9lghPIrp,Billie Holiday,64,adult standards,Lady In Satin,4LrLP7DM1KBj8r2Sc098JA,album,1958,16,https://i.scdn.co/image/ab67616d0000b2730d8f3ef58cefad0ec738f3dd,0.244,0.233,9,-16.583,0,0.0413,0.695,0.00059,0.282,0.262,78.088,audio_features,6Rvz1jM5eUqzNs2Pi8RMTG,spotify:track:6Rvz1jM5eUqzNs2Pi8RMTG,https://api.spotify.com/v1/tracks/6Rvz1jM5eUqzNs2Pi8RMTG,https://api.spotify.com/v1/audio-analysis/6Rvz1jM5eUqzNs2Pi8RMTG,203267,5
9,Who's That Girl,You Don't Know What Love Is,44,1,False,1YzCsTRb22dQkh9lghPIrp,Billie Holiday,64,adult standards,Lady In Satin,4LrLP7DM1KBj8r2Sc098JA,album,1958,16,https://i.scdn.co/image/ab67616d0000b2730d8f3ef58cefad0ec738f3dd,0.215,0.247,9,-15.11,0,0.0354,0.822,7.5e-05,0.355,0.0842,86.391,audio_features,5UPJdlkMWG2G2UwTfGSjOe,spotify:track:5UPJdlkMWG2G2UwTfGSjOe,https://api.spotify.com/v1/tracks/5UPJdlkMWG2G2UwTfGSjOe,https://api.spotify.com/v1/audio-analysis/5UPJdlkMWG2G2UwTfGSjOe,228133,3
10,Who's That Girl,Violets for Your Furs,25,1,False,1YzCsTRb22dQkh9lghPIrp,Billie Holiday,64,adult standards,Lady In Satin,4LrLP7DM1KBj8r2Sc098JA,album,1958,16,https://i.scdn.co/image/ab67616d0000b2730d8f3ef58cefad0ec738f3dd,0.259,0.204,10,-17.525,1,0.0386,0.784,8.65e-05,0.363,0.334,173.14,audio_features,78bQ9c4Cu0FFrQXYUVJ41z,spotify:track:78bQ9c4Cu0FFrQXYUVJ41z,https://api.spotify.com/v1/tracks/78bQ9c4Cu0FFrQXYUVJ41z,https://api.spotify.com/v1/audio-analysis/78bQ9c4Cu0FFrQXYUVJ41z,204027,3
11,Who's That Girl,The End of a Love Affair - Stereo Take 4 with Vocal Overdub Take 8,19,1,False,1YzCsTRb22dQkh9lghPIrp,Billie Holiday,64,adult standards,Lady In Satin,4LrLP7DM1KBj8r2Sc098JA,album,1958,16,https://i.scdn.co/image/ab67616d0000b2730d8f3ef58cefad0ec738f3dd,0.281,0.307,7,-15.493,0,0.04,0.715,0.000621,0.286,0.281,136.686,audio_features,0YNaV8iU1JwA0LUEIPBsf5,spotify:track:0YNaV8iU1JwA0LUEIPBsf5,https://api.spotify.com/v1/tracks/0YNaV8iU1JwA0LUEIPBsf5,https://api.spotify.com/v1/audio-analysis/0YNaV8iU1JwA0LUEIPBsf5,286373,4
12,Who's That Girl,Oh My Lover,0,1,False,12VaqyEhgwDRuFfEqbnrpz,PJ Harvey,58,alternative rock,Dry,1vIaTetjalG42MJV3KjONu,album,1992,11,https://i.scdn.co/image/ab67616d0000b2731443f3bf70161da732dd876b,0.449,0.397,2,-9.769,1,0.0279,0.763,1.22e-05,0.29,0.117,108.002,audio_features,7pIRL9Z6s8R7c2S9AqI6SU,spotify:track:7pIRL9Z6s8R7c2S9AqI6SU,https://api.spotify.com/v1/tracks/7pIRL9Z6s8R7c2S9AqI6SU,https://api.spotify.com/v1/audio-analysis/7pIRL9Z6s8R7c2S9AqI6SU,242467,4
13,Who's That Girl,O Stella,0,1,False,12VaqyEhgwDRuFfEqbnrpz,PJ Harvey,58,alternative rock,Dry,1vIaTetjalG42MJV3KjONu,album,1992,11,https://i.scdn.co/image/ab67616d0000b2731443f3bf70161da732dd876b,0.491,0.854,9,-8.631,1,0.0537,0.0698,1.59e-05,0.33,0.439,117.154,audio_features,0oKT9oIX6dBTo0MyrpxFqs,spotify:track:0oKT9oIX6dBTo0MyrpxFqs,https://api.spotify.com/v1/tracks/0oKT9oIX6dBTo0MyrpxFqs,https://api.spotify.com/v1/audio-analysis/0oKT9oIX6dBTo0MyrpxFqs,150507,4
14,Who's That Girl,Dress,0,1,False,12VaqyEhgwDRuFfEqbnrpz,PJ Harvey,58,alternative rock,Dry,1vIaTetjalG42MJV3KjONu,album,1992,11,https://i.scdn.co/image/ab67616d0000b2731443f3bf70161da732dd876b,0.42,0.738,11,-9.143,1,0.0507,0.00455,0.00156,0.0977,0.609,151.352,audio_features,5kmBhthoaExSVO2X9YkKf2,spotify:track:5kmBhthoaExSVO2X9YkKf2,https://api.spotify.com/v1/tracks/5kmBhthoaExSVO2X9YkKf2,https://api.spotify.com/v1/audio-analysis/5kmBhthoaExSVO2X9YkKf2,198347,4
15,Who's That Girl,Sheela-na-gig,0,1,False,12VaqyEhgwDRuFfEqbnrpz,PJ Harvey,58,alternative rock,Dry,1vIaTetjalG42MJV3KjONu,album,1992,11,https://i.scdn.co/image/ab67616d0000b2731443f3bf70161da732dd876b,0.47,0.743,1,-10.105,1,0.0501,0.00438,0.000687,0.0953,0.422,127.007,audio_features,1cAMkPNZDu52rHjXxaJSlv,spotify:track:1cAMkPNZDu52rHjXxaJSlv,https://api.spotify.com/v1/tracks/1cAMkPNZDu52rHjXxaJSlv,https://api.spotify.com/v1/audio-analysis/1cAMkPNZDu52rHjXxaJSlv,192080,4
16,Who's That Girl,Tin Angel,0,1,False,5hW4L92KnC6dX9t7tYM4Ve,Joni Mitchell,55,canadian singer-songwriter,Clouds,03iFLgmgkLT7X5gnXVPID5,album,1969,10,https://i.scdn.co/image/ab67616d0000b27356444b01f4852b7830dc581e,0.426,0.113,4,-12.14,0,0.0386,0.964,0.0131,0.0988,0.155,110.488,audio_features,013GhfdBzuuCf2iqo2ITlV,spotify:track:013GhfdBzuuCf2iqo2ITlV,https://api.spotify.com/v1/tracks/013GhfdBzuuCf2iqo2ITlV,https://api.spotify.com/v1/audio-analysis/013GhfdBzuuCf2iqo2ITlV,249133,4
